Recipient,Amount,Purpose
CYGNALLLC,$20900,RESEARCH
TRANSAMERICARETIREMENTSOLUTIONS,$2366,EMPLOYEEBENEFIT
MAILCHIMP,$143,NETWORKANDSUPPORT
SEAISLANDCOMPANY,$30958,EVENTACTIVITIES
WOODCREEKENTERPRISESLLC,$25000,CONSULTING
ANEDOT,$41,PROCESSINGFEES
GERALDRFORDPARKING,$122,TRAVELPARKING
TRANSAMERICARETIREMENTSOLUTIONS,$3209,EMPLOYEEBENEFIT
CMDI,$500,DATABASESERVICES
DICKINSONWRIGHTPLLC,$12500,LEGALFEE
RINGCENTRALINC,$315,NETWORKANDSUPPORT
"EPAYBUSINESSSOLUTIONS,INC.",$20884,PAYROLLTAXES
AGGREGRATEBELOWTHRESHOLD,$34030,AGGREGRATEEXPENDITURESBELOWTHRESHOLD
"EPAYBUSINESSSOLUTIONS,INC.",$70,PAYROLLFEE
CREATIVERESPONSECONCEPTSINC,$7500,CONSULTING
MONTAGEBIGSKY,$99737,EVENTDEPOSIT
CREATIVERESPONSECONCEPTSINC,$7500,CONSULTING
"EPAYBUSINESSSOLUTIONS,INC.",$37689,PAYROLL
TRANSAMERICARETIREMENTSOLUTIONS,$3108,EMPLOYEEBENEFIT
"EPAYBUSINESSSOLUTIONS,INC.",$37604,PAYROLL
CREATIVERESPONSECONCEPTSINC,$115,REIMBURSEMENTFOOD
THEWHITLEY,$838,LODGING
"TRENT,COOPER",$1750,EVENTEXPENSE
ANEDOT,$83,PROCESSINGFEES
"EPAYBUSINESSSOLUTIONS,INC.",$20699,PAYROLLTAXES
"COGENTCOMMUNICATIONS,INC.",$780,INTERNETSERVICE
JWMARRIOTTNASHVILLE,$1895,EVENTSHIPPING
NATLWWIIMUSEUM,$14290,EVENTDEPOSIT
DIRECTV,$79,TV
DCHEALTHLINK,$6799,INSURANCE
"EPAYBUSINESSSOLUTIONS,INC.",$537,PAYROLLTAXES
BANKOFAMERICA,$784,MERCHANTFEES
"EPAYBUSINESSSOLUTIONS,INC.",$20314,PAYROLLTAXES
SNOWCOUNTRYLIMO,$15410,TRAVELGROUNDTRANSPORTATION
THEGRANDHOTEL,$24131,EVENTLODGING
CREATIVERESPONSECONCEPTSINC,$7500,CONSULTING
OAKSTEAKHOUSE,$11883,EVENTFOODANDBEVERAGE
"EPAYBUSINESSSOLUTIONS,INC.",$38322,PAYROLL
"EPAYBUSINESSSOLUTIONS,INC.",$13903,PAYROLL
GERALDRFORDPARKING,$195,TRAVELPARKING
"KOBACH,KRIS",$1825,REIMBURSEMENTTRAVEL
"EPAYBUSINESSSOLUTIONS,INC.",$37442,PAYROLL
DICKINSONWRIGHTPLLC,$12500,LEGALFEE
"RUSSELL,LEE",$463,REIMBURSEMENTTRAVEL
LOTAEPS,$42,TRAVELPARKING
THERITZCARLTONAMELIAISLAND,$10000,EVENTDEPOSIT
THEMAYFLOWERHOTEL,$918,LODGING
MORTONS,$195,MEETINGEXPENSE
DICKINSONWRIGHTPLLC,$12500,LEGALFEE
THEWESTININDIANAPOLIS,$1551,LODGING
CYGNALLLC,$18000,RESEARCH
"BISBEE,PETER",$1153,REIMBURSEMENTTRAVEL
CLAPPINGMONKEY,$8354,EVENTSUPPLIES
MARDIGRASWORLD,$1504,EVENTACTIVITIES
ACQUIREDIGITAL,$2500,DIGITALCONSULTING
VERIZON,$683,TELEPHONE
SIRSPEEDY,$164,OFFICESUPPLIES
GULFCOASTTOURS,$6000,TRAVELGROUNDTRANSPORTATION
SPIRITOFTHENORTH,$2850,EVENTACTIVITY
RINGCENTRALINC,$317,NETWORKANDSUPPORT
GOLDBELLY,$77,MEETINGEXPENSE
AMERICANAIRLINES,$3024,TRAVELAIRFARE
COSTCOBYINSTACART,$350,OFFICESUPPLIES
XEROXCORPORATION,$395,PRINTINGANDCOPYING
CYGNALLLC,$18000,RESEARCH
ANEDOT,$8,PROCESSINGFEES
THOMPSONGREENSPON,$2635,ACCOUNTING
AMAZON.COM,$1215,OFFICESUPPLIES
ACQUIREDIGITAL,$2500,DIGITALCONSULTING
ADOBE,$2923,NETWORKANDSUPPORT
CMDI,$500,DATABASESERVICES
"WILSON,ALAN",$617,REIMBURSEMENTTRAVEL
DELTAFISHHOUSE,$5750,EVENTDEPOSIT
1747PENNSYLVANIAAVENUELP,$15767,RENT
"CARTER,JOHN",$3200,EVENTEXPENSE
COSTCOBYINSTACART,$293,OFFICESUPPLIES
ALLWAYSGRAPHICS,$625,EVENTSUPPLIES
WINRED,$985,MERCHANTFEES
CYGNALLLC,$36400,RESEARCH
DICKINSONWRIGHTPLLC,$12500,LEGALFEE
TRANSAMERICARETIREMENTSOLUTIONS,$3099,EMPLOYEEBENEFIT
TRANSAMERICARETIREMENTSOLUTIONS,$3108,EMPLOYEEBENEFIT
ANEDOT,$49,PROCESSINGFEES
ROCKETREACHLLC,$828,DATABASESERVICES
TRANSAMERICARETIREMENTSOLUTIONS,$3099,EMPLOYEEBENEFIT
GALATOIRES,$7500,EVENTFOODANDBEVERAGE
THEMAYFLOWERHOTEL,$369,LODGING
GUARDIANLIFEINSURANCEOFAMERICA,$1497,INSURANCE
1747PENNSYLVANIAAVENUELP,$15787,RENT
AMAZON.COM,$1610,EVENTSUPPLIES
NINJASTITCH,$749,EVENTSUPPLIES
UBER,$688,TRAVELGROUNDTRANSPORTATION
BIGSKYRESORT,$21717,EVENTACTIVITIES
"EPAYBUSINESSSOLUTIONS,INC.",$75,PAYROLLFEE
CMDI,$500,DATABASESERVICES
LAZPARKING,$624,TRAVELPARKING
ACQUIREDIGITAL,$2500,DIGITALCONSULTING
"RUSSELL,LEE",$113,REIMBURSEMENTTRAVEL
"YUMASOLUTIONS,INC.",$1052,ITCONSULTING
"EPAYBUSINESSSOLUTIONS,INC.",$351,PAYROLLFEE
THERITZCARLTONHALFMOONBAY,$3493,LODGING
VERIZON,$686,TELEPHONE
NRGENERGYINC,$2451,INKINDTICKETS
UBER,$819,TRAVELGROUNDTRANSPORTATION
CREATIVERESPONSECONCEPTSINC,$7500,CONSULTING
"REYES,SEAN",$7597,REIMBURSEMENTTRAVEL
SOUTHWESTAIRLINES,$364,TRAVELAIRFARE
SEAISLANDCOMPANY,$8574,EVENTAUDIOVISUAL
DELTAAIRLINES,$1568,TRAVELAIRFARE
FLYCREEKFISHCAMPLLC,$4500,EVENTACTIVITIES
TRANSAMERICARETIREMENTSOLUTIONS,$3099,EMPLOYEEBENEFIT
"EPAYBUSINESSSOLUTIONS,INC.",$38039,PAYROLL
"ROKITA,TODD",$983,REIMBURSEMENTTRAVEL
"KOREMENOS,JOHNNY",$101,REIMBURSEMENTTRAVEL
SEAISLANDCOMPANY,$59727,EVENTDEPOSIT
"EPAYBUSINESSSOLUTIONS,INC.",$592,PAYROLLFEE
"COGENTCOMMUNICATIONS,INC.",$780,INTERNETSERVICE
CREATIVERESPONSECONCEPTSINC,$7500,CONSULTING
SEAISLANDCOMPANY,$12306,EVENTTRANSPORTATION
"EPAYBUSINESSSOLUTIONS,INC.",$351,PAYROLLFEE
LAZPARKING,$620,TRAVELPARKING
LAZPARKING,$624,TRAVELPARKING
SEAISLANDCOMPANY,$50874,EVENTLODGING
"EPAYBUSINESSSOLUTIONS,INC.",$20365,PAYROLLTAXES
WUFOO,$105,NETWORKANDSUPPORT
JWMARRIOTTNASHVILLE,$52680,EVENTDEPOSIT
UPTSTRATEGIES,$151500,DIGITALADVERTISING
"EPAYBUSINESSSOLUTIONS,INC.",$70,PAYROLLFEE
PROSPECTSTRATEGICCOMMUNICATIONS,$22665,RESEARCH
BANKOFAMERICA,$1770,MERCHANTFEES
UBER,$448,TRAVELGROUNDTRANSPORTATION
WUFOO,$105,NETWORKANDSUPPORT
"COGENTCOMMUNICATIONS,INC.",$780,INTERNETSERVICE
CREATIVERETIREMENTSYSTEMS,$443,EMPLOYEEBENEFIT
"EPAYBUSINESSSOLUTIONS,INC.",$70,PAYROLLFEE
TINROOF,$7648,EVENTACTIVITY
BOOKSHOP.ORG,$822,EVENTSUPPLIES
"EPAYBUSINESSSOLUTIONS,INC.",$19029,PAYROLLTAXES
"EPAYBUSINESSSOLUTIONS,INC.",$75,PAYROLLFEE
MAILCHIMP,$143,NETWORKANDSUPPORT
1747PENNSYLVANIAAVENUELP,$15768,RENT
DELTAAIRLINES,$50,TRAVELAIRFARE
WPHILADELPHIA,$847,LODGING
MCANDA,$2299,EVENTACTIVITIES
JWMARRIOTTNASHVILLE,$27462,EVENTDEPOSIT
DCHEALTHLINK,$6446,INSURANCE
UNITEDAIRLINES,$683,AIRFARE
LOTAEPS,$42,TRAVELPARKING
"YUMASOLUTIONS,INC.",$1059,ITCONSULTING
SEAISLANDCOMPANY,$59727,EVENTDEPOSIT
AMERICANEXPRESS,$695,FEE
FEDEX,$806,POSTAGE
ALABAMAGOOD,$4122,EVENTSUPPLIES
1747PENNSYLVANIAAVENUELP,$15438,RENT
AMERICANAIRLINES,$2569,TRAVELAIRFARE
"EPAYBUSINESSSOLUTIONS,INC.",$20248,PAYROLLTAXES
SIRSPEEDY,$43,EVENTSUPPLIES
"EPAYBUSINESSSOLUTIONS,INC.",$75,PAYROLLFEE
"EPAYBUSINESSSOLUTIONS,INC.",$20346,PAYROLLTAXES
THEHARTFORD,$3651,INSURANCE
CYGNALLLC,$36900,RESEARCH
"EPAYBUSINESSSOLUTIONS,INC.",$37322,PAYROLL
"EPAYBUSINESSSOLUTIONS,INC.",$37442,PAYROLL
1747PENNSYLVANIAAVENUELP,$15398,RENT
FRIENDSOFSEANREYES,$12500,CONTRIBUTION
"EPAYBUSINESSSOLUTIONS,INC.",$34722,PAYROLL
PEBBLEBEACHCOMPANY,$37500,EVENTDEPOSIT
JWMARRIOTTNASHVILLE,$27462,EVENTDEPOSIT
XEROXCORPORATION,$196,PRINTINGANDCOPYING
VERIZON,$683,TELEPHONE
CAPITOLHILLHOTEL,$725,LODGING
